latin_name,english_name,french_name,url,light_from,light_to,bloom_start,bloom_end,soil_humidity_min,soil_humidity_max,min_height,max_height,size,stratification_detail,stratification_duration,sowing_depth,sowing_period,sharing_priority,harvesting_start,harvesting_end,harvesting_indicator,harvesting_mean,seed_head,remove_non_seed_material,viability_test,seed_storage,one_cultivar,packaging_measure,dormancy,seed_preparation,hyperlink,envelope_label_link,harvesting_video_link,seed_picture_link,pods_seed_head_picture_link,seed_storage_label_info,notes,germinate_easy,rock_garden,rain_garden,pond_edge,shoreline_rehab,container_suitable,ground_cover,garden_edge,woodland_garden,wind_break_hedge,erosion_control
Actaea racemosa,Black snakeroot,Cimicaire à grappes,https://www.prairiemoon.com/cimicifuga-racemosa-black-cohosh-prairie-moon-nursery.html,Part Shade,Full Shade,5,9,Medium,,,84,"7’ tall, 2-3’ wide",,,Surface,With thin layer of mulch,1 - Give in priority,10,12,Pods are slightly open and seeds inside are dark,Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,Double dormancy,,https://wildplantsfromseed.com/html/speciesdata.php?name=ACTAEA%20RACEMOSA,https://docs.google.com/document/d/1c_VmzeZXNqZqDUzQxB59VFtOdGxHlYsYiirBqh4EvXo/edit#,https://www.youtube.com/watch?v=5e8ael70vzs,,,Keep seeds moist in fridge,,,,,,,,,,,,
Adlumia fungosa,Climbing fumitory,Adlumie fongueuse,https://www.wildflower.org/plants/result.php?id_plant=ADFU,Part Shade,,6,9,Medium,,120,180,10-15’ long,Cold moist 90d,90,⅛”,,1 - Give in priority,9,10,Pods are brown and slightly open,"Open the pod, remove seeds",Pod,Yes,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded ⅛ teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=ADLUMIA%20FUNGOSA,https://docs.google.com/document/d/1vm0bz9-JOla-5bHxEBD5UOD13PsEch7TQPk6kw-YGfA/edit?usp=sharing,,,,,Ripening is sequential; mature capsules and seeds are usually present from late summer to frost.,,,,,,,,,,,
Agalinis tenuifolia,Slender-leaved false foxglove ,Gérardie à feuilles ténues,https://www.prairiemoon.com/agalinis-tenuifolia-slender-false-foxglove,Full Sun,Part Shade,8,10,Medium,,12,24,"1-2’ tall, 0.75-1.5’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,10,10,,,,,,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=AGALINIS%20TENUIFOLIA,https://docs.google.com/document/d/1UOUu-xTtjNEVkt8Vd6jxATvJh0ZxXCQ2hyzkepLuOfw/edit?sharingaction=ownershiptransfer,,,,,Hemiparasitic: sow with grasses,,,,,,,,,,,
Agastache foeniculum,Blue giant hyssop ,Agastache fenouil,https://www.prairiemoon.com/agastache-foeniculum-anise-hyssop-prairie-moon-nursery.html,Full Sun,Part Shade,6,9,Medium,,48,48,"2-4’ tall, 1.5-3’ wide",,,Surface,,3 - Do not donate,10,11,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)",Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=AGASTACHE%20FOENICULUM,https://docs.google.com/document/d/13AxsRDbJTlOvYqF86pPtd4dW_-G7wJ3WMAiNHaUNF60/edit#,,,,,,1,,,,,1,,,,,
Agastache nepetoides,Yellow giant hyssop,Agastache faux-népéta,https://www.prairiemoon.com/agastache-nepetoides-yellow-giant-hyssop-prairie-moon-nursery.html,Full Sun,Part Shade,7,10,Medium,,,72,"6’ tall, 1.5-2’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,10,12,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)",Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/1GISAUGRtp3MYUuiupYIltxE9kqjmj4vfveS1LmyJ1jM/edit#,,,,,,1,,,,,,,,,,
Agastache scrophulariifolia,Purple giant hyssop ,Agastache à feuilles de scrofulaire,https://www.prairiemoon.com/agastache-scrophulariaefolia-purple-giant-hyssop-prairie-moon-nursery.html,Full Sun,Part Shade,7,10,Medium,,36,72,"3-6’ tall, 1.5-3’ wide",Cold moist 60d,60,Surface,,"2 - Give us seeds in second priority, after donating priority 1 seeds first",10,12,"Pods are brown and crisp and starting to open, seeds are dark and tiny stem attaching to the main stem is brown. Seeds easily fall off pod when shaken, and little stem connecting the pod to the main stem is brown (not green)",Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded ⅛ teaspoon,,,,https://docs.google.com/document/d/1Fj8K3p4f7SHRUcvVA4W22CXZMJpnTsXU7UrLCulL_Cs/edit,,,,,,1,,,,,,,,,,
Ageratina altissima,White snakeroot,Eupatoire rugueuse,https://www.prairiemoon.com/eupatorium-rugosum-white-snakeroot-prairie-moon-nursery.html,Part Shade,Full Shade,7,10,Medium,,,24,2’ tall,Cold moist 60d,60,Surface,,"No thanks, we have enough already",9,9,Seeds have become fluffy and can be easily removed by shaking on gently pulling off from stem,Shake seed head in paper bag,Fluff,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,https://wildplantsfromseed.com/html/speciesdata.php?name=AGERATINA%20ALTISSIMA%20var.%20altissima,https://docs.google.com/document/d/1EtPrWGYJpE33qB1vqprT7e12Rsnb4HbHAB9p80CeGAk/edit,https://www.youtube.com/watch?v=I1yA-OQ0HH4,,,,Causes milk sickness if ingested by cows,,,,,,,,,,,
Allium cernuum,Nodding onion ,Ail penché,https://www.prairiemoon.com/allium-cernuum-nodding-onion-prairie-moon-nursery.html,Full Sun,Part Shade,6,8,Dry,Medium,12,18,"1-1.5’ tall, 0.25-0.5’ wide",Cold moist 60d,60,Just below surface,,1 - Give in priority,9,10,Pods are slightly open and seeds inside are dark,Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",1 rounded 1/32 teaspoon,,,,https://docs.google.com/document/d/1jNGToafq4qQapyLDu18eT5bsOoKIpQhP36EoWAehPpU/edit,https://www.youtube.com/watch?v=CvBd_BSbMII,,,,,1,,,,,1,,,,,
Allium schoenoprasum,Wild chives ,Ciboulette commune,https://gobotany.nativeplanttrust.org/species/allium/schoenoprasum/,Full Sun,Part Shade,4,5,Medium,,12,18,"1-1.5’ tall, 1-1.5’ wide",,,⅛”,Late spring in warm soil,1 - Give in priority,7,7,Pods are slightly open and seeds inside are dark,Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","No, you can donate without knowing the source as there are only straight species",1 rounded 1/32 teaspoon,,,https://www.alamy.com/stock-photo-allium-schoenoprasum-chive-seed-stem-174938749.html,https://docs.google.com/document/d/18t6ranSlJW79YCoo_HjHDCK7iEuHStoRFxpXOcWgMUQ/edit?usp=sharing,https://www.youtube.com/watch?v=V_b03H5D5Os,,,,,,,,,,,,,,,
Allium stellatum,Autumn onion ,Ail étoilé,https://www.prairiemoon.com/allium-stellatum-prairie-onion-prairie-moon-nursery.html,Full Sun,Part Shade,7,8,Dry,Medium,12,18,"1-1.5’ tall, 0.5-1’ wide",Cold moist 60d,60,Surface,,1 - Give in priority,9,11,Pods are slightly open and seeds inside are dark,Use hand to detach from main stem,Pod,No,No test needed before donating,"Air Dry in paper bag or open container, for a few days until crisp, shaking seeds to move them once in a while to prevent molding","Yes, do not donate unless you know source, and there are no known cultivars in your garden or at proximity",Six (6) seeds (eyeball),,,,https://docs.google.com/document/d/1VCDG9KKr5MG0ZblOuyj7v-XACGngz4bC6hGkKwEH3T0/edit?usp=sharing,,,,,,,,,,,,,,,,
